,College Code,College Name,Zone,Group,Category Name,University,District,1st year,Total No of students
38,2128,JAYA COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone II : Chennai-II,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,10,118
39,2129,St Joseph college of Engineering ,Zone II : Chennai-II,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,265,1073
40,3101,ANAND INSTITUTE OF HIGHER TECHNOLOGY,Zone III : Chennai-III,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,449,1377
41,3103,CENTRAL INSTITUTE OF PLASTICS ENGINEERING AND TECHNOLOGY,Zone III : Chennai-III,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENNAI,97,488
42,3105,Dhanalakshmi Srinivasan College of Engineering and Technology,Zone III : Chennai-III,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,498,1628
43,3107,Jawahar Engineering College,Zone III : Chennai-III,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,TIRUVALLUR,0,14
44,3108,Jeppiaar Engineering College,Zone III : Chennai-III,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,504,1767
45,3110,KCG College of Technology,Zone III : Chennai-III,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,593,2229
46,3111,LOYOLA - ICAM COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone III : Chennai-III,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENNAI,379,1483
47,3114,MEENAKSHI COLLEGE OF ENGINEERING,Zone III : Chennai-III,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENNAI,363,1266
48,3115,MEENAKSHI SUNDARARAJAN ENGINEERING COLLEGE,Zone III : Chennai-III,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENNAI,430,1615
49,3116,MISRIMAL NAVAJEE MUNOTH JAIN ENGINEERING COLLEGE,Zone III : Chennai-III,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,232,773
50,3118,MOHAMMED SATHAK A.J.COLLEGE OF ENGINEERING,Zone III : Chennai-III,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,235,823
51,3120,JEPPIAAR SRR ENGINEERING COLLEGE ,Zone III : Chennai-III,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,0,101
52,3121,SMK FOMRA INSTITUTE OF TECHNOLOGY,Zone III : Chennai-III,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,75,276
53,3125,T.J. INSTITUTE OF TECHNOLOGY,Zone III : Chennai-III,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,54,351
54,3126,THANGAVELU ENGINEERING COLLEGE ,Zone III : Chennai-III,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,128,395
55,3128,Agni College of Technology,Zone III : Chennai-III,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,538,1617
56,3135,Panimalar engineering college Chennai city campus,Zone I : Chennai-I,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENNAI,362,362
57,4101,ADHI COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone IV : MIT - Chromepet,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,286,1008
58,4103,ARM COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone IV : MIT - Chromepet,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,30,99
59,4106,Dhaanish Ahmed College of Engineering ,Zone IV : MIT - Chromepet,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,323,895
60,4107,DHANALAKSHMI COLLEGE OF ENGINEERING,Zone IV : MIT - Chromepet,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,292,1077
61,4108,G.K.M. COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone IV : MIT - Chromepet,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,33,291
62,4114,NEW PRINCE SHRI BHAVANI COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone IV : MIT - Chromepet,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,212,690
63,4115,PERI INSTITUTE OF TECHNOLOGY,Zone IV : MIT - Chromepet,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,284,1071
64,4116,Prince Dr.K.Vasudevan College of Engineering and Technology,Zone IV : MIT - Chromepet,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,107,363
65,4117,PRINCE SHRI VENKATESHWARA PADMAVATHY ENGINEERING COLLEGE,Zone IV : MIT - Chromepet,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,185,775
66,4118,RRASE COLLEGE OF ENGINEERING,Zone IV : MIT - Chromepet,1.0,Affilated Non - Autonomous,ANNA UNIVERSITY,KANCHEEPURAM,191,926
67,4119,SHRI ANDAL ALAGAR COLLEGE OF ENGINEERING,Zone V : Tindivanam,2.0,Affilated Non - Autonomous,ANNA UNIVERSITY,CHENGALPATTU,0,41
