College Name,Zone,1st year,Total No of students
"St.Peter's College of Engineering and Technology, Avadi, Chennai ",Zone I : Chennai-I,141,578
St.Xavier's Catholic College of Engineering,Zone XVII : Nagercoil,504,1842
Star Lion College of Engineering and Technology,Zone XIII : Pattukkottai,58,496
"Sudharsan Engineering College,Pudukkottai",Zone XVIII : Trichy,97,358
Sun College of Engineering and Technology ,Zone XXII : Madurai,8,8
Surya Engineering College ,Zone XI : Erode,76,775
Surya Group of Institutions ,Zone XXI : Villupuram,184,693
Syed Ammal Engineering College,Zone XIV : Karaikudi,218,673
T.J. INSTITUTE OF TECHNOLOGY,Zone III : Chennai-III,54,351
T.S.M. JAIN COLLEGE OF TECHNOLOGY,Zone XXI : Villupuram,9,550
THAMIRABHARANI ENGINEERING COLLEGE,Zone XVI : Tirunelveli-I,226,755
THANGAVELU ENGINEERING COLLEGE ,Zone III : Chennai-III,128,395
THANTHAI PERIYAR GOVT INSTITUTE OF TECHNOLOGY,Zone VI : Arni,379,1596
THE KAVERY COLLEGE OF ENGINEERING,Zone VII : Dharmapuri,0,145
THE KAVERY ENGINEERING COLLEGE,Zone VII : Dharmapuri,707,1703
THIRUMALAI ENGINEERING COLLEGE,Zone VI : Arni,135,672
THIRUVALLUVAR COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone V : Tindivanam,141,490
TJS Engineering College,Zone I : Chennai-I,184,594
TRICHY ENGINEERING COLLEGE,Zone XII : Ariyalur,79,474
Tagore Engineering College ,Zone IV : MIT - Chromepet,237,685
Tagore Institute of Engineering and Technology ,Zone VIII : Salem,289,809
Tamilnadu College of Engineering ,Zone IX : Coimbatore - I,186,573
Theni Kammavar Sangam College of Technology,Zone XV : Dindigul,169,580
"Thiagarajar College of Engineering, Madurai",Zone XXII : Madurai,0,1353
UDAYA SCHOOL OF ENGINEERING,Zone XVII : Nagercoil,204,1329
ULTRA College of Engineering& Technology,Zone XXII : Madurai,73,292
UNITED INSTITUTE OF TECHNOLOGY,Zone IX : Coimbatore - I,269,585
UNIVERSITY COLLEGE OF ENGINEERING PANRUTI ,Zone XXI : Villupuram,187,751
"UNIVERSITY COLLEGE OF ENGINEERING, ARIYALUR",Zone XII : Ariyalur,133,440
"UNIVERSITY COLLEGE OF ENGINEERING, DINDIGUL",Zone XV : Dindigul,164,643
"UNIVERSITY COLLEGE OF ENGINEERING, NAGERCOIL",Zone XVII : Nagercoil,334,1469
"UNIVERSITY COLLEGE OF ENGINEERING, THOOTHUKUDI",Zone XX : Tirunelveli-II,97,615
"UNIVERSITY COLLEGE OF ENGINEERING, TINDIVANAM",Zone V : Tindivanam,188,663
"UNIVERSITY COLLEGE OF ENGINEERING, VILLUPURAM",Zone XXI : Villupuram,186,855
Universal College of Engineering and Technology Vallioor ,Zone XX : Tirunelveli-II,108,572
University College of Engineering ARNI,Zone VI : Arni,142,616
University College of Engineering Pattukkottai,Zone XIII : Pattukkottai,128,571
University College of Engineering Ramanathapuram,Zone XIV : Karaikudi,84,354
University College of Engineering Thirukkuvalai,Zone XIII : Pattukkottai,119,433
University College of Engineering kanchipuram,Zone II : Chennai-II,189,871
"University College of Engineering, BIT Campus, Trichy",Zone XVIII : Trichy,801,3610
Unnamalai Institute of Technology,Zone XVI : Tirunelveli-I,134,263
V V College of Engineering ,Zone XX : Tirunelveli-II,225,770
V.P.MUTHAIAH PILLAI MEENAKSHI AMMAL ENGINEERING COLLEGE FOR WOMEN,Zone XVI : Tirunelveli-I,0,36
V.R.S. COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XXI : Villupuram,272,820
V.S.B. COLLEGE OF ENGINEERING TECHNICAL CAMPUS,Zone X : Coimbatore - II,475,1298
"V.S.B. ENGINEERING COLLEGE, KARUR",Zone XV : Dindigul,991,3545
VANDAYAR ENGINEERING COLLEGE,Zone XIII : Pattukkottai,24,332
VARUVAN VADIVELAN INSTITUTE OF TECHNOLOGY,Zone VII : Dharmapuri,174,879
VELAMMAL COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XXII : Madurai,580,2036
VETRI VINAYAHA COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone VIII : Salem,114,251
VI INSTITUTE OF TECHNOLOGY,Zone V : Tindivanam,0,88
VICKRAM COLLEGE OF ENGINEERING,Zone XIV : Karaikudi,0,12
VIDYAA VIKAS COLLEGE OF ENGINEERING AND TECHNOLOGY,Zone XI : Erode,108,453
VINS CHRISTIAN  WOMEN'S COLLEGE OF ENGINEERING  CHUNKANKADI,Zone XVII : Nagercoil,0,31
VIVEKANANDHA COLLEGE OF TECHNOLOGY FOR WOMEN,Zone XI : Erode,310,1074
VSA GROUP OF INSTITUTIONS,Zone VIII : Salem,98,453
Vaigai College of Engineering,Zone XXII : Madurai,134,659
Velammal Institute of Technology,Zone I : Chennai-I,503,1519
Vins Christian College of engineering,Zone XVII : Nagercoil,52,197
